3G,4G Slow,4G Fast,unthrottled
118.29,76.04,52.34,46.86
97.4,73.6,52.84,43.7
89.62,47.59,41.51,28.55
73.18,46.71,41.96,26.79
77.09,50.01,44.57,33.43
125.16,41.63,40.46,36.83
92.6,44.8,39.84,33.36
109.46,86.21,69.06,20.11
60.03,49.33,34.45,24.14
44.07,31.96,30.31,26.12
74.23,74.72,50.31,45.49
120.95,68.66,55.38,45.94
103.21,80,55.5,41.74
92.4,39.98,83.97,28.26
56.51,47.05,44.11,22.72
56.51,45.37,40.47,38.41
48.57,55.09,70.81,31.89
114.09,51,33.54,23.38
101.27,58.93,42.01,21.03
45.53,38.11,34.81,44.44
